Edisi: Fri May 29 21:18:06 WIB 2020
==================================================================
Penjelasan: "akunGitHub H - P P0 P1 P2 - W - A"

akunGitHub -- Nama akun yang digunakan untuk mengakses GitHub.com.

H  = UAS-BERSAMA/0000-ABSEN.txt (Hadir)

P  = UAS-PRIBADI/
P0 = UAS-PRIBADI/0000-mypub.txt
P1 = UAS-PRIBADI/0001-mytest.txt
P2 = UAS-PRIBADI/0002-mytest.txt.asc

W  = WEBPRIBADI/

A  = UAS-BERSAMA/akunGitHub/

CATATAN:
Harus lengkap sebelum 8 Juni 2020 jam 12:59.
Lihat juga:
https://scele.cs.ui.ac.id/mod/forum/discuss.php?d=19137

Jolan Tru!
OS201 RMS
==================================================================
phazeblaze           H - P P0 00 00 - 0 - A
qadzifi              0 - 0 00 00 00 - 0 - 0
racendol             H - P P0 P1 00 - W - A
rafaputri86          H - P P0 P1 00 - W - A
RafifEL              H - P P0 00 00 - 0 - 0
ramyazhar            H - 0 00 00 00 - W - 0
raniapriliaa         H - 0 00 00 00 - W - 0
raularrafi           H - 0 00 00 00 - 0 - 0
Raygue               H - P P0 P1 00 - W - A
rekapaska            H - 0 00 00 00 - 0 - 0
reynardryanda        H - 0 00 00 00 - W - 0
ronaldi-tj           H - 0 00 00 00 - W - 0
roygodsend23         H - 0 00 00 00 - 0 - 0
rukamudrik           H - P P0 00 00 - W - A
ryaasabsar           H - P 00 00 00 - W - A
Salman-Ahmad-N       H - P P0 P1 00 - W - A
salsabiladnan        H - 0 00 00 00 - W - 0
samratumaharani      H - 0 00 00 00 - 0 - 0
samuelsamosir27      H - P 00 P1 00 - W - A
shanniadm            H - 0 00 00 00 - W - 0
ShintaFauziah        H - 0 00 00 00 - W - 0
skycruiser8          H - P P0 P1 00 - W - A
stefansagala         H - P P0 00 00 - W - A
stephenhandiar       H - 0 00 00 00 - W - 0
SulthanZahran        H - 0 00 00 00 - W - 0
syannelimarwan       H - 0 00 00 00 - W - 0
taritrinatha         H - 0 00 00 00 - 0 - 0
tasyashbr            H - 0 00 00 00 - W - 0
tesajps              H - 0 00 00 00 - W - 0
ThatDecoff           H - 0 00 00 00 - W - 0
thegalang            H - 0 00 00 00 - W - 0
titusdirgantoro      H - P P0 P1 00 - W - A
tolhassianipar       H - 0 00 00 00 - W - 0
vianra               H - 0 00 00 00 - 0 - 0
wahprima             H - P P0 00 00 - W - A
WillySand            0 - 0 00 00 00 - 0 - 0
wulanfebyazzahra     H - P 00 00 00 - W - A
wulanmantiri         H - 0 00 00 00 - W - 0
Xerdiosa             H - 0 00 00 00 - W - 0
yasminadelia         H - 0 00 00 00 - W - 0
yobelioe17           H - 0 00 00 00 - W - 0
yogahmad             H - 0 00 00 00 - W - 0
zackhowisely         0 - 0 00 00 00 - 0 - 0
zafirabinta          H - P P0 P1 00 - W - A
zafirr31             H - 0 00 00 00 - W - 0
zakiysaputra         H - 0 00 00 00 - W - 0
zxrsvy               H - 0 00 00 00 - W - 0
zzzzzczcnnnn         0 - 0 00 00 00 - 0 - 0
==================================================================
